Element,Degree,Arcana,Name,SpellType,MP,CastTime,TN,Test,Effect,Page,Source
Enchantment Arcana,Novice,Enchantment - Novice,Enchant Weapon,Utility,4,Major Action,10,,"You touch a weapon and channel your magic to temporarily imbue it with arcane power.
Until the end of the encounter, the affected item grants a +1 bonus to attack and damage rolls. Such enchanted weapons count as magical against creatures harmed or otherwise affected by magic weapons.
At higher degrees, you can increase the bonus by spending additional MP: at Expert you can provide a +2 bonus for 6 MP, and at Master degree you can provide a +3 bonus for 12 MP.",128,FCRB
Enchantment Arcana,Novice,Enchantment - Novice,Identify Enchantment,Utility,2,1 Minute,10,,"You cast this spell and touch an item. If the spell is successful you immediately know if the item is enchanted, whether it is a temporary or permanent item, and have a general sense of the nature of its enchantment. If the casting test fails you do not gain any information about the item. The GM may wish to make the test secretly, so you don't know whether the item is not enchanted or you simply failed to obtain any information.
At higher degrees, you gain additional information about an enchanted item. At Expert you learn the item's rarity as a measure of its power and you can also make an additional TN 11 Perception test to determine if the item is cursed, adding",128,FCRB
Enchantment Arcana,Novice,Enchantment - Novice,Spell Glyph,Utility,2,1 Minute,11,,"When you successfully cast this spell, you can “store” another spell you know in an item by drawing an invisible arcane symbol on it.
Spend the MP for both spell glyph and the spell you are storing in the glyph and combine their casting times. You must succeed on the casting roll for the second spell to store
it. Another Mage using arcane awareness (from the Power Arcana) can perceive the spell glyph and make an Intelligence (Arcane Lore) test against your Spellpower to know what
spell it contains. The stored spell can be released from the item by touching it and taking the Activate action, or by a preset trigger, chosen when you store it, such as “Whenever anyone crosses this threshold,” or “Whenever anyone other than me touches this item.”
When released, the stored spell has its usual effect and makes any necessary tests using your abilities at the time it was stored. If the spell is targeted and is activated by trigger, it automatically targets whatever triggered it. You can have two active stored spell glyphs per degree you have in Enchantment Arcana. To create an additional glyph, you must allow one of your prior ones to expire. An expired glyph dissipates harmlessly and without effect.",129,FCRB
Enchantment Arcana,Expert,Enchantment - Expert,Suspend Enchantment,Utility,6,Major Action,13,,"You can manipulate mystic energy to suppress both the positive and negative effects of an enchanted item.
With a touch and a successful casting roll you temporarily suspend any enchantments on a common magic item (see Chapter 10: Rewards), rendering it mundane, its magic inoperable, for the remainder of an encounter. After the suspend enchantment spell ends, the item regains its normal properties. Among other things, this spell makes cursed items safe to handle while their enchantment is suspended. Any effect triggered by touching or handling the item does not take effect due to touching it to cast this spell so long as the spell is successful. If the spell fails, the item and all its effects (both positive and negative) function as normal.
At Expert degree, you can cast suspend enchantment at TN 15 to affect common and uncommon items. At Master degree, you can cast it at TN 17 to affect common, uncommon, and rare items. This spell does not affect legendary magic items.",129,FCRB
Enchantment Arcana,Expert,Enchantment - Expert,Imbue Item,Utility,10,4 Hours,0,,"You can make temporary magic items such as those listed under Temporary Magic Items in Chapter 10: Rewards.
No casting roll is required, but before casting imbue item, you must prepare the item at a cost of 10 sp for a common item, 20 for an uncommon item, and 50 for a rare item. Imbue item can't create legendary temporary items or any form of permanent item. You must cast imbue item ten times within the span of a week, spending 10 MP each time. If you run out of time, you lose all previous castings and money spent on preparation.
",130,FCRB
Enchantment Arcana,Master,Enchantment - Master,Drain Enchantment,Utility,0,Minor Action,13,,"You can drain some of the magic from a magic item to replenish your own power.
When casting drain enchantment you must be touching or holding the item and make a successful casting roll: TN 13 for a common item, 15 for uncommon, 17 for rare, and 19 for legendary. If the test is successful, the magic item's enchantment is suspended for 4 rounds (as the suspend enchantment spell) and you gain MP. The amount gained is equal to your degree of success + 1d6 per rank. If you successfully cast drain enchantment on an item five times in the same encounter, its enchantment is permanently destroyed, and it is no longer a magic item.",130,FCRB
Enchantment Arcana,Master,Enchantment - Master,Empower Item,Utility,20,12 Hours,0,,"You can make permanent magic items such as those listed under Permanent Magic Items in Chapter 10: Rewards.
No casting roll is required, but before casting empower item, you must prepare the item at a cost of 250 sp for a common item, 500 for an uncommon item, and 1000 for a rare item. Imbue item can't be used to make legendary permanent items. You must cast empower item ten times within the span of a week, spending 20 MP each time. If you run out of time, you lose all previous castings and money spent on preparation.",130,FCRB
Fate Arcana,Novice,Fate - Novice,Agent of Fate,Enhancement,4,Major Action,11,,"You grasp the skein of fate and manipulate the odds for the benefit of yourself or another.
Choose a subject within 10 yards (you may choose yourself). If you successfully cast agent of fate, record the result of the Stunt Die. For the remainder of the encounter, whenever the subject of the spell makes a test that can generate stunt points, they can choose to use either the rolled Stunt Die result or your Stunt Die result from the spellcasting. This affects the chances of success, the chances of generating stunt points, and the number of SP gained.
At Expert degree you can affect a second subject within 10 yards when you cast agent of fate. This increases the MP cost of the spell to 7.",130,FCRB
Fate Arcana,Novice,Fate - Novice,Fate's Gamble,Enhancement,2,Major Action,10,,"You tug the strands of fate in ways that may benefit you and your allies, but that can be fickle.
Until the end of your next turn, you and any allies within 10 yards, when generating stunt points on a test, can choose to immediately ""wager""those SP. Reroll the test, and, if the second result is successful, you gain additional SP equal to the result of the Stunt Die on top of the SP you already gained. However, if the second test fails, you lose SP equal to the result of the Stunt Die, which can reduce your SP to 0. The second test doesn't affect the actual test outcome other than determining how many SP you have to spend.",130,FCRB
Fate Arcana,Novice,Fate - Novice,Hands of Fate,Enhancement,4,Major Action,12,,"You can manipulate fate to help your allies.
When you cast this spell, you get a total bonus equal to your Stunt Die +1. For the remainder of the encounter you can give part or all of this bonus to an ally within 20 yards of you if it would make one of their failed ability tests into a success. If an ally failed a test by 2, for example, you could give them 2 of your total bonus to make that test into a success. The GM must tell you the cost and you can then decide if you want to apply any of your bonus to the test.
Hands of fate lasts until you've spent your total bonus or the encounter ends. If your total bonus from casting the spell was 5, for example, you might give 3 of it to one ally and later give to another. You can only have one hands of fate spell active at any time.",130,FCRB
Fate Arcana,Novice,Fate - Novice,Puppets of Fate,Attack,6,Major Action,13,Willpower (Self-Discipline) Vs. Spellpower,"You manipulate fate to discomfort your enemies.
Choose a number of enemies within 10 yards of you equal to the result of the Stunt Die result of your casting roll. Until the start of your next turn, the chosen enemies must reroll successful ability tests and take the worse result. Each target can make a Willpower (Self-Discipline) vs. Spellpower test to resist puppets of fate. A target that succeeds is not affected by the spell.",131,FCRB
Fate Arcana,Expert,Fate - Expert,Manipulate Fate,Attack,6,Major Action,13,Willpower (Self-Discipline) Vs. Spellpower,"You manipulate the weave of fate to change the outcome of your foe's actions.
Choose one target within 10 yards of you. For the remainder of the encounter, when they generate stunt points, you can choose how those points are spent. Your choices must still be valid uses of those stunt points and cannot result in forcing the subject to take an action against their will (such as attacking an ally). The target can resist manipulate fate with a successful Willpower (Self-Discipline) test against your Spellpower (test for each attempt). If the test succeeds, the subject can spend their stunt points as they wish.",131,FCRB
Fate Arcana,Expert,Fate - Expert,Strings of Fate,Enhancement,8,Major Action,14,,"You pull the web of fate to favor your party.
You and your allies within 10 yards of you may each choose one stunt. Characters can perform their chosen stunt for -1 SP (minimum 1) for the rest of the encounter. A character can only benefit from one strings of fate spell at a time.",131,FCRB
Fate Arcana,Master,Fate - Master,Chosen of Fate,Enhancement,12,Major Action,16,,"You weave the web of fate to favor you at a critical time.
For the remainder of the encounter, both you and allies within 10 yards of you may reroll your Stunt Die when generating stunt points and take the better result of the original test result's Stunt Die or the reroll provided by this spell. Chosen of fate only takes effect if the original die roll generated stunt points by scoring doublesâ€”simple tests, non-doubles results, and other rolls which don't generate SP with doubles can't be augmented by the spell.",131,FCRB
Fate Arcana,Master,Fate - Master,Fate's Favored,Enhancement,12,Major Action,16,,"You brashly bend the warp and weft of fate to favor the efforts of you and your allies. There is strength in unity of action.
Choose an ability and one of its focuses. For the remainder of the encounter, you and allies within 10 yards of you generate stunt points on successful basic tests using the specified ability and focus, even if doubles are not rolled. These stunt points are then spent as normal. A character must have the chosen focus to gain thespell's benefits.",131,FCRB
Fire Arcana,Novice,Fire - Novice,Arcane lantern,Utility,2 Per Hour,Major Action,8,,"You illuminate the area around you with a steady light similar to that of a lantern.
The spell illuminates a 10 yard radius centered on you. Arcane lantern lasts for one hour but can be extended for 2 MP per additional hour.",131,FCRB
Fire Arcana,Novice,Fire - Novice,Flame Blast,Attack,4,Major Action,12,Dexterity (Acrobatics) Vs. Spellpower,"Gouts of blazing fire erupt from your outstretched hands or arcane device, burning nearby targets.
The flame blast is 8 yards long and 2 yards wide. Anyone hit by the blast takes 2d6 + 1 damage. Targets that make a successful Dexterity (Acrobatics) test vs. your Spellpower only take 1d6 + 1 damage.
",131,FCRB
Fire Arcana,Novice,Fire - Novice,Flaming Weapon,Attack,4,Major Action,11,,"A melee weapon you touch bursts into flames which do not harm the wielder but will inflict additional damage.
When the weapon makes a successful attack, add 1d6 to its damage. The flaming weapon spell lasts for a minute, but you can spend half the original MP cost to extend the duration another minute.
At Expert degree, you can cast flaming weapon on the weapon of an ally within 10 yards without having to touch the weapon. You can also spend an additional +1 MP and increase thespell's TN by +1 to affect an additional weapon within 10 yards. So, casting flaming weapon on five weapons requires a TN 15 casting roll and costs 8 MP.",132,FCRB
Fire Arcana,Novice,Fire - Novice,Shape Fire,Utility,4,Major Action,11,,"You can increase the size and intensity of an existing fire.
The base TN is 10 (+ 1 per square foot of increase). Every two square feet increases the fire's damage potential by 1d6. The fire maintains its increased size and damage as long as you concentrate, taking a minor action each turn to do so, and can even burn in the absence of fuel, but not air; smothering still puts it out. So, a caster who succeeds on a TN 16 casting roll can spread a fire over an additional 6 square feet and it does +3d6 damage. This spell can also be used to control and suppress fire. Simply use the results of the casting roll to determine how the size and damage of the fire can be reduced rather than increased.",132,FCRB
Fire Arcana,Expert,Fire - Expert,Burning Shield,Defense,6,Major Action,12,,"You surround yourself with an aura of fire.
Any adjacent enemy that makes a melee attack against you takes 1d6 penetrating damage. Burning shield lasts for a number of minutes equal to your Willpower.",132,FCRB
Fire Arcana,Expert,Fire - Expert,Immunity to Fire,Defense,6,Major Action,13,,"Your magic protects you from the damaging effects of your arcana's element.
You or the subject touched become immune to the effects of heat and fire for the rest of the encounter. This includes damage inflicted solely by high temperatures, not other side-effects of fire such as suffocation, smoke, or toxic gases.",132,FCRB
Fire Arcana,Master,Fire - Master,Firestorm,Attack,11,Major Action,15,Dexterity (Acrobatics) Vs. Spellpower,"You create an explosive rain of fire with a 4-yard radius
anywhere within 50 yards of you.
Anyone caught in the area takes 3d6 + Willpower damage (targets' Armor Ratings reduce it) and may be knocked Prone. Those who make a successful Dexterity (Acrobatics) test vs. your Spellpower remain standing.",133,FCRB
Fire Arcana,Master,Fire - Master,Wall of Fire,Utility,10,Major Action,16,Dexterity (Acrobatics) Vs. Spellpower,"You conjure a wall of roaring flames to block and burn
your enemies.
This wall can be up to 10 yards long, 3 yards high, and 1 yard deep, starting at a point within 30 yards of you. You can shape the line of the wall however you wish, including forming a circle or arc. The wall of fire blocks sight and inflicts 3d6 + Willpower damage upon any creature crossing or starting its turn within it; those succeeding on a Dexterity (Acrobatics) test vs. your Spellpower take only 1d6 + Willpower damage. A wall of fire lasts for one minute, and you can pay an additional 10 MP to extend thespell's duration another minute.",133,FCRB
Healing Arcana,Novice,Healing - Novice,Balm,Utility,2,Major Action,9,,"You perform the Heal action (see Chapter 2: Basic Rules) on a target within 20 yards, without needing to have bandages in hand, be adjacent to the target, or needing to succeed at a Intelligence (Healing) check. This otherwise works as the Heal action.",133,FCRB
Healing Arcana,Novice,Healing - Novice,Cure,Utility,6,Major Action,12,,"You touch a subject and immediately cure any one disease or poison affecting them.
Any ongoing effects of the disease or poison end, but cure does not heal damage the disease previously caused. At the GM's discretion, curing certain exotic, unusual, or magical diseases and poisons may have a higher TN and/or MP Cost.",133,FCRB
Healing Arcana,Novice,Healing - Novice,Healing Touch,Utility,1 to 3,Major Action,10,,"Your touch seals wounds and restores vigor to one wounded target.
You can choose to spend up to 3 MPs when you cast the spell. For each MP spent, the target gets back 1d6 Health. You can cast this on yourself.",133,FCRB
Healing Arcana,Novice,Healing - Novice,Revival,Utility,6,Major Action,14,,"Your touch helps restore the grievously wounded or fallen.
A character adjacent to you at 0 Health who is suffering the Dying, Helpless, or Unconscious Defeat Conditions immediately regains 10 + their Constitution + your Willpower in Health. Since such characters cannot take actions, you cannot cast this spell on yourself.",133,FCRB
Healing Arcana,Expert,Healing - Expert,Healing Aura,Utility,2 to 8,Major Action,15,,"Waves of healing energy radiate from you and aid your nearby allies.
You can pick a number of targets up to twice your Willpower, all of whom must be within 10 yards of you. All targets regain 1d6 Health for 2 MP, 2d6 Heath for 4 MP, or 3d6 Health for 8 MP, which is the maximum effect the spell is capable of. You can designate yourself as one of the targets.",133,FCRB
Healing Arcana,Expert,Healing - Expert,Regenerate,Utility,10,Major Action,13,,"With a touch, you bestow the power of regeneration upon a subject.
For the rest of the encounter, the subject has the regenerate special quality, allowing them to heal as a stunt attached to any action by spending 2 SP to recover Health equal to their Constitution (minimum 2). Unlike creatures with the regenerate quality, targets of the spell can only use this benefit once per round, and they cannot spend additional SP to increase the effect. Wounds inflicted by acid or fire do not regenerate and Health lost to them cannot be regained this way. You may cast this on yourself.",134,FCRB
Healing Arcana,Master,Healing - Master,Rejuvenate Body,Utility,20,1 Minute,17,,"You heal your patient of a persistent injury, including limbs and other body parts lost to wounds, heavy scarring, or anything that is a longstanding hindrance, even after you recover full Health.
Each casting of rejuvenate body eliminates one such injury. This spell can therefore remove one instance of the Scarred condition (including when it imposes a lasting version of conditions such as Blinded, Deafened, and others) related to such an injury each time it is cast.",134,FCRB
Healing Arcana,Master,Healing - Master,Restoration,Utility,16,1 Minute,17,,"Given some time, your presence and power allow others to recover quickly from harm.
You can restore a gravely injured character to health, though this spell takes 1 minute to cast and is thus most useful outside of combat encounters. You must remain adjacent to the target throughout the casting. If the casting is interrupted or you move away from the subject during that time, the spell automatically fails, but you do not have to spend the MP. If successful, the target regains Health equal to your Willpower -10.",134,FCRB
Heroic Arcana,Novice,Heroic - Novice,Hero's Armor,Defense,1 to 5,Major Action,10,,"Your arcane energies provide magical protection to you or your allies.
You touch a subject (including yourself) who gains an Armor Rating equal to the number of MP you spent on the hero's armor spell (up to 5). The benefits of hero's armor do not stack with worn armor. Only the highest AR applies. The spell lasts for 1 minute, but you can extend its duration for another minute by spending half of its MP cost (rounded up) as a free action.",134,FCRB
Heroic Arcana,Novice,Heroic - Novice,Hero's Courage,Enhancement,4,Major Action,12,,"You bolster the nerve of your allies with your power.
Hero's courage infuses a number of allies equal to your Willpower within 6 yards of you with greater courage and determination. You and the affected allies gain a +2 bonus on all Willpower tests for the remainder of the encounter.",134,FCRB
Heroic Arcana,Novice,Heroic - Novice,Hero's Inspiration,Enhancement,3,Major Action,10,,"You inspire skill and competence in those around you.
Your arcane power gives confidence to a number of targets equal to your Willpower. They must be within 6 yards of you when the spell is cast but may then move freely and still enjoy its effects. Those with hero's inspiration gain a +2 bonus on the next ability test they take (whatever it is). If they have not used this bonus by the end of the encounter, the benefit is lost. You can designate yourself as one of the targets.",134,FCRB
Heroic Arcana,Novice,Heroic - Novice,Hero's Might,Enhancement,6,Major Action,12,,"You inspire strength and power in those around you.
Your arcane power infuses a number of targets equal to your Willpower. They must be within 6 yards of you when the spell is cast but may then move freely and still enjoy its effects. Until the end of the encounter those enhanced with hero's might gain a +1 bonus to damage when making melee and ranged attacks. You can designate yourself as one of the targets.",134,FCRB
Heroic Arcana,Expert,Heroic - Expert,Hero's Aegis,Defense,6,Major Action,13,,"Magical power protects against attacks.
Your power protects a number of targets equal to your Willpower. They must be within 6 yards of you when the spell is cast, but may then move freely and still enjoy its effects. Until the end of the encounter those under the hero's aegis gain a +1 bonus to Defense. You can designate yourself as one of the targets.",135,FCRB
Heroic Arcana,Expert,Heroic - Expert,Hero's Speed,Enhancement,6,Major Action,13,,"Magical swiftness infuses the subjects of this spell.
Choose a number of allies equal to your Willpower within 6 yards of you; you may include yourself among this number. If the spell is successful, those affected increase their Speed by your Willpower (minimum of 1) for the remainder of the encounter.",135,FCRB
Heroic Arcana,Master,Heroic - Master,Chosen Champion,Enhancement,10,Major Action,15,,"Your sorcery bolsters an ally's strength and lethality when battling a certain enemy.
You can designate a single ally within 6 yards of you as a chosen champion against a particular foe, also specified when you cast this spell. The champion gains the following benefits:
-  +2 bonus to attack and damage rolls against the
designated foe.
-  +1 SP on any test against the designated foe that generates stunt points.
The ability to take the Heal action to benefit themselves; the champion rolls a TN 11 Willpower (Courage) test and, if successful, gains Health equal to the Stunt Die + Willpower.
If the designated foe attacks anyone other than the champion, the target gains +2 Defense.
The chosen champion spell lasts until the designated foe is defeated or for the remainder of the encounter, whichever comes first.",135,FCRB
Heroic Arcana,Master,Heroic - Master,Hero's Spirit,Enhancement,8,Major Action,14,,"You bolster yourself and nearby allies with arcane power.
You and your allies within 10 yards of you get +1 SP when generating stunt points. Hero's Spirit lasts until the end of the encounter.",135,FCRB
Illusion Arcana,Novice,Illusion - Novice,Disorient,Attack,4,Major Action,11,Willpower (Self-Discipline) Vs. Spellpower,"You distort the senses of one visible character.
A target within 10 yards of you makes a Willpower (Self-Discipline) test against your Spellpower. If the test fails, the target experiences the Slowed condition (see Chapter 2: Basic Rules) and takes a -2 penalty to tests other than those affected by being Slowed. The target of disorient can make a new Willpower test at the start of each of your turns to shake off the spell; a successful test ends the spell. Otherwise, it persists for the remainder of the encounter.",135,FCRB
Illusion Arcana,Novice,Illusion - Novice,Displacement,Defense,4,Minor Action,11,Perception (Seeing) Vs. Spellpower,"You create the illusion that you (or another subject you touch when casting) are about a yard away from your real position. For the remainder of the encounter, you gain +2 Defense against melee attacks and +5 Defense against ranged attacks. Attacks targeting an area are unaffected so long as you are actually in the area. Any attacker who has missed the subject at least once while displacement is in effect can make a Perception (Seeing) test against your Spellpower as a free action on the start of their turn. Success means they perceive your true position,
although the spell remains in effect for others.",135,FCRB
Illusion Arcana,Novice,Illusion - Novice,Figment,Utility,2,Minor Action,10,Perception (Seeing) Vs. Spellpower,"You conjure a single simple visual illusion.
The figment can look like anything you've seen or can describe (in the GM's judgment) but can be no larger than 2 cubic yards in size. It has no substance and makes no sound. Anyone with a reason to believe the figment might not be real can roll a Perception (Seeing) test against your Spellpower to see through it. You can impart motion to the illusion by taking a minor action each round to manipulate it, and the figment lasts for a minute; spend an additional 2 MP to extend its duration for another minute when it expires.
At Expert degree, you can conjure a figment up to 4 cubic yards in size and cause it to move without you taking an action make it do so, for +2 MP. At Master degree, you can conjure a figment up to 8 cubic yards in size that moves according to your will without you having to take an action, and you can make any sounds associated with that thing or creature as well for + 4 MP.

Alternate Figments and Other Illusions
Some creatures, including Player Characters and ordinary people alike, do not primarily rely on vision to experience things around them. Alternate versions of the figment spell prioritizing other senses are sometimes used by both Mages with these backgrounds and those exploring the arcane properties of various senses. Thus, a figment founded in sound makes an illusory noise as its basic effect, then adds easy mobility and visual phenomena later. Similar variations may exist for other Illusion Arcana spells that affect visual perception first, at the GM's discretion.",135,FCRB
Illusion Arcana,Novice,Illusion - Novice,Illusory Guise,Utility,4,Minor Action,10,Perception (Seeing) Vs. Spellpower,"You transform the appearance of a touched object or creature (including yourself) into that of someone else, including anything the subject is wearing or carrying.
The subject can look like anything of roughly (+/-20%) of their size. After an hour, the subject's appearance reverts to normal, unless you spend an additional 3 MP to maintain the spell. Anyone with reason to suspect the subject of your illusory guise is not what they appear to be can roll a Perception (Seeing) test against your Spellpower to see through the disguise.
At Expert degree, this spell can create disguises of roughly +/-50% of the subject's original size; at Master degree +/-75%, and it can also change how the subject sounds as well as appears.",136,FCRB
Illusion Arcana,Expert,Illusion - Expert,Illusory Scene,Utility,6,Major Action,12,Perception (Seeing) Vs. Spellpower,"You transform the appearance of an area, filling the scene with whatever images you wish.
This affects an area up to 10 yards across in any direction and includes changing the appearance of any creatures or objects within the area to look like something else, from other creatures to a copse of trees or shambling monsters, as you see fit. You can move the affected area at a Speed up to your Spellpower as a minor action each round (to keep pace with moving subjects, for example). Anyone with a reason to believe the illusory scene might not be real can roll a Perception (Seeing) test against your Spellpower to see through it. After one hour the area affected reverts to normal, unless you spend an additional 5 MP to maintain the spell for another hour.
At Master degree, you affect an area up to 15 yards across and can cause the illusion to make any sounds associated with the scene it depicts as well.",136,FCRB
Illusion Arcana,Expert,Illusion - Expert,Invisibility,Utility,8,Major Action,14,Perception (Seeing) Vs. Spellpower,"You or a subject you touch becomes invisible for the remainder of the encounter.
While invisible, the subject can still be detected using other senses. The invisible character can only be targeted by attackers with some idea where the creature is and, even then, gains a +5 bonus to Defense. An invisible character that makes an attack or casts an attack spell becomes visible until the start of the creature's next turn, whereupon they become invisible again.",136,FCRB
Illusion Arcana,Master,Illusion - Master,Hallucination,Attack,10,Major Action,17,Willpower (Self-Discipline) Vs. Spellpower,"You seize control of the senses of a visible character within 20 yards of you.
If the target fails the Willpower (Self-Discipline) test against your Spellpower, you control everything they sense for as long as you concentrate, taking a minor action each round to do so. You can make the subject perceive anything and the illusions can range from extremely minor to changing the entire environment, since the hallucination exists entirely in the subject's mind and perceptions. If a target of hallucination is given any reason to believe what they are experiencing is an illusion they can make another Willpower test against your Spellpower on their turn, with success ending the spell.",136,FCRB
Illusion Arcana,Master,Illusion - Master,Phantasm,Attack,12,Minor Action,15,Perception (Empathy) Vs. Spellpower,"You conjure an illusory creature that is a manifestation of your chosen target's worst fears.
Each round on your turn you can use a major action to cause the phantasm to attack your chosen target: roll a test of the target's Perception (Empathy) vs. your Spellpower. If the test succeeds, the attack from the phantasm ""misses.""If the target's test fails, they take 2d6 + your Willpower penetrating damage. A phantasm can only attack one target (chosen when you cast the spell) and its target must be an aware creature. Completely mindless creatures and objects are immune. The phantasm lasts until its target is slain, you dismiss it, or you are no longer capable of taking actions.",136,FCRB
Lightning Arcana,Novice,Lightning - Novice,Jolt,Attack,4,Major Action,11,Constitution (Stamina) Vs. Spellpower,"A spark of power leaps from your fingertips to strike one of your foes.
You jolt one creature you can perceive within 10 yards of you. The target takes 2 penetrating damage and must succeed in a Constitution (Stamina) test vs. your Spellpower or become Stunned (as the condition, losing their major action, described in Chapter 2: Basic Rules) on their next turn.The target recovers from being Stunned after the end of that turn.",137,FCRB
Lightning Arcana,Novice,Lightning - Novice,Lightning Flash,Attack,4,Major Action,11,Dexterity (Acrobatics) Vs. Spellpower,"You invoke an arc of lightning that flashes between your hands with blinding brightness.
Anyone within 4 yards and looking directly at you when you cast lightning flash must make a successful Dexterity (Acrobatics) test against your Spellpower or be Blinded (as the condition in Chapter 2: Basic Rules) on their next turn. The target recovers from being Blinded after the end of that turn.",137,FCRB
Lightning Arcana,Novice,Lightning - Novice,Shock Blast,Attack,4,Major Action,13,Constitution (Stamina) Vs. Spellpower,"Electricity arcs from your hands or your arcane device, shocking targets in an area adjacent to you.
Anyone in a 6-yard by 6-yard area adjacent to you takes 1d6 + Willpower penetrating damage. Targets that make a successful Constitution (Stamina) test vs. your Spellpower only take 1d6 penetrating damage.",138,FCRB
Lightning Arcana,Novice,Lightning - Novice,Thunder Blast,Attack,6,Major Action,12,Strength (Might) Vs. Spellpower,"You unleash a rolling blast of violent thunder in an arc in front of you.
The arc of the thunder blast is 6 yards long and 4 yards wide at its end when it manifests. Any creature within the area takes 1d6 + Willpower damage and must succeed on a Strength (Might) test vs. your Spellpower or be pushed up to 2 yards away from you and knocked Prone. If the test succeeds, the target takes the damage, but is not pushed away from you or knocked Prone.",138,FCRB
Lightning Arcana,Expert,Lightning - Expert,Lightning Bolt,Attack,8,Major Action,15,Constitution (Stamina) Vs. Spellpower,"A bolt of electricity leaps from your outstretched hand or arcane device to strike a single visible target within 30 yards of you.
The lightning bolt inflicts 2d6 + Willpower penetrating damage. A target that makes a successful Constitution (Stamina) test vs. your Spellpower only takes 1d6 + Willpower penetrating damage.",138,FCRB
Lightning Arcana,Expert,Lightning - Expert,Shocking Shield,Attack,6,Major Action,12,Constitution (Stamina) Vs. Spellpower,"You charge your body with arcane lightning, shocking any enemy with the audacity to touch you.
For the remainder of the encounter, any foe who strikes or grabs you in melee suffers 1d6 + Willpower penetrating damage in the form of a powerful electric shock. A foe who makes a successful Constitution (Stamina) test vs. your Spellpower takes only 1d6 penetrating damage.",138,FCRB
Lightning Arcana,Master,Lightning - Master,Chain Lightning,Attack,12,Major Action,17,Constitution (Stamina) Vs. Spellpower,"The coruscating power of your lightning jumps from target to target.
This spell is similar to lightning bolt, but it can affect multiple targets, arcing from one to the next. Pick a single visible target within 20 yards of you, and an additional number of targets equal to the result of the casting roll's Stunt Die. They must all be within 10 yards of the original target. Chain lightning inflicts 2d6 + Willpower penetrating damage. Targets that make a successful Constitution (Stamina) test vs. your Spellpower only take 1d6 + Willpower penetrating damage.",138,FCRB
Lightning Arcana,Master,Lightning - Master,Lightning Storm,Attack,12,Major Action,17,Dexterity (Acrobatics) Vs. Spellpower,"You conjure a roiling mass of storm clouds overhead, flickering with lightning.
For the next minute after casting lightning storm, you can take a minor action during your turn to call down a bolt of lightning from the storm clouds to strike any target within 20 yards of you. The target takes 3d6 + Willpower penetrating damage. A target that makes a successful Dexterity (Acrobatics) test vs. your Spellpower to avoid the bolt takes only 1d6 + Willpower penetrating damage. Lightning storm lasts for 1 minute, but you can spend thespell's MP cost again to extend its duration for another minute.",138,FCRB
Power Arcana,Novice,Power - Novice,Empathy,Utility,2,Minor Action,9,Willpower (Self-Discipline) Vs. Spellpower,"You can sense the emotions of others.
If you succeed, you know the feelings and mood of one subject you can see. This grants you a +2 bonus on Communication tests with that subject. Additionally, you know when the subject directly lies to you, although you do not detect half-truths or lies of omission. A use of empathy lasts for the encounter of interacting with one subject.
At Expert degree, you can affect a number of subjects equal to your Perception rating (or 2, whichever is more) with one casting of this spell. Each subject resists separately.",138,FCRB
Power Arcana,Novice,Power - Novice,Mind Contact,Utility,4,Minor Action,9,Willpower (Self-Discipline) Vs. Spellpower,"You can establish contact between your mind and another.
If you are unable to perceive the subject in the immediate vicinity, they must be well-known to you personally. If the subject is unwilling to receive contact, they may make a Willpower (Self-Discipline) test against your Spellpower: if they succeed, they're able to shut you out of their mind. While in mind contact, you and your subject can communicate silently at the rate of normal speech, ""hearing""each other's thoughts. You can also send a single sensory impression rather than speaking. Both of you can choose to lie or omit information; you're ""speaking""and not reading each other's thoughts (see mind reading for that ability).
Mind contact lasts for up to 1 minute; you can spend thespell's MP cost again to extend its duration for another minute. This also requires a new casting roll if the target is unwilling.
At Expert degree, you can affect a number of subjects equal to your Perception rating (or 2, whichever is more) with one casting of this spell. Each subject resists separately.",139,FCRB
Power Arcana,Novice,Power - Novice,Mind Shield,Defense,2,Reaction,0,,"When you are the target of any Mind Arcana spell, or any effect that requires a Willpower (Morale) or Willpower (Self-Discipline) test to resist its effects, you can make a Willpower test using the applicable focus as a reaction, in addition to any other test to which you are entitled. If you have the Intelligence (Mind Arcana) focus, you can add its bonus to this extra test.
If your Willpower test exceeds the caster's Spellpower (or 10 + their Communication + relevant focus if the effect does not have Spellpower but the GM decides mind shield would protect against it), the effect fails. If you fail the Willpower test, you still get the usual test against the effect, if any. So, for example, if your mind shield fails to resist a mind contact spell, you still get the usual Willpower (Self-Discipline) test to resist it.
You may invoke mind shield as a reaction whenever you wish to resist a spell or effect against which it would protect, paying the MP cost each time. When an unknown spell or power targets you, you may ask the GM whether mind shield would apply to it, and the GM must give you an honest answer. If it does, you are entitled to employ it.",139,FCRB
Power Arcana,Novice,Power - Novice,Sense Minds,Utility,4,Minor Action,13,,"You stretch out your awareness to sense the presence of other minds.
If the casting roll succeeds, you sense the presence (or absence) of other minds (creatures with an Intelligence rating) within 100 yards, as well as their approximate number, general type (animal, person, etc.), and approximate location. A mind shield test result greater than your casting roll allows that creature to go undetected.",139,FCRB
