Name,DegreeLong,Specialization,Degree,Class1,Class2,Class3,Requirements,Description,Page,Source
Miracle Worker,Novice,Miracle Worker - Novice,1,Mage,,,"Intelligence 2, Willpower 2, Healing Arcana (Expert)","Your magic teems with a life energy you've become sensitive to. When you cast Healing Arcana spells, targets regain extra Health equal to your Willpower, and you become aware of any ongoing impediments to their physical health, such as toxins or diseases.",93,FCRB
Miracle Worker,Expert,Miracle Worker - Expert,2,Mage,,,"Intelligence 2, Willpower 2, Healing Arcana (Expert)","You can expel distortions of life within life. When you cast the Healing Touch spell, you can spend an extra 5 MP to cure the target of a single disease or remove a single non-per- manent condition caused by physical injury such as Blinded, Deafened, and Maimed.",93,FCRB
Miracle Worker,Master,Miracle Worker - Master,3,Mage,,,"Intelligence 2, Willpower 2, Healing Arcana (Expert)","You learn the apex of the healing arts. You can cast a more powerful version of the Revival spell for 25 MP on any creature which has died during an action encounter, or within five minutes of narrative time, as long as the body has not, in the GMâ€™s opinion, been too severely damaged to revive. You can also spend an extra 10 MP on any Healing Arcana spell and take a level of the Fatigued condition to remove a Scar from a single target.",93,FCRB
Mystic Navigator,Novice,Mystic Navigator - Novice,1,Any,,,"Dexterity 1, Intelligence 2, The Intelligence (Navigation) Focus","You know the Deep, and you can find your way under the most difficult conditions. First, only mystic navi- gators like yourselves can find the world-crossing currents of the Deep without using magical assistance. This may require an Intelligence (Navigation) test but attempts by anyone who does not possess this specialization automatically fail. Fortunately, you may also reroll any Intelligence (Navigation) test, including for mundane voyages, but you must keep the results of the second roll. You also instantly know if you've been transported from one world to another, though you do not intuit any information beyond that fact. In addition, you help keep your crew safe, as the ship and its contents move to protect them, mystically responding to your will. Once per round, if you're aboard a ship (defined as a floating craft that uses sails, oars, or an engine) and percieve that someone else aboard is about to fail a test to avoid or mitigate a hazard (see Hazards in Chapter 8: Mastering the Rules), you can roll a Dexterity (Sailing) test as a reaction at the same TN as the test they failed as an additional chance to resist the hazard's effects.",93,FCRB
Mystic Navigator,Expert,Mystic Navigator - Expert,2,Any,,,"Dexterity 1, Intelligence 2, The Intelligence (Navigation) Focus","You can find your way even in alien waters. When rolling Intelligence (Navigation) tests to find your way at sea add +1 to the Stunt Die, increasing your chance of success and degree of success. You do not count this bonus when checking for doubles, but it does add to the number of stunt points you might gain from doubles. In addition, while you're aboard a ship (see the Novice degree for how ""ship"" is defined) you can mystically manipulate rigging, sails, and other loose shipboard to hinder your foes. This takes the form of a Stunt Attack majora ction you can employ against a target within 30 yards, using Dexterity (Sailing) for your attack roll. This may take the form of bad luck tripping the target up, or blatantly animated ropes and other objects depending on the situation and how this ability manifests in the campaign.",94,FCRB
Mystic Navigator,Master,Mystic Navigator - Master,3,Any,,,"Dexterity 1, Intelligence 2, The Intelligence (Navigation) Focus","You always have some sense where familiar ports lie. Even if you do not know your current location, or even the world you're on, you can read the mystical currents of fate to help find the way to any fixed point (such as a port, island, or permanently anchored floating city) you've been to before -- or where it was, in the bizarre event the ""fixed point"" has moved. When rolling to navigate to such destinations, you treat any result of less than 10 on the die as 10, though if your actual roll was lower, doubles can't generate stunt points. You can also entrust your vessel to fate, and if the Game Master agrees you automatically succeed at all tests (though you can't gain or use SP if you do) to navigate to any location destiny -- that is, the GM directs your vessel to. You don't necessarily know anything about your destination; you navigate intuitively. Such locations are always significant to the campaign or adventure's ongoing story. Finally, your ability to manipulate shipboard phenomena becomes second nature, and you can use the Expert ability to perform a Stunt Attack as a minor action, though if you do, rolling doubles doesn't change the number of SP you can spend if you succeed.",94,FCRB
Necromancer,Novice,Necromancer - Novice,1,Mage,,,"Intelligence 2, Willpower 2, The Expert Degree In Death Arcana","You can nudge the fallen back to life or commit them to eternity. By using a minor action to touch a target with 0 Health and spending 1 MP, you can silently kill them, or stabi- lize them if they have the Dying condition. In the unlikely case your target is still moving around, you must use a major action and make a Accuracy (Brawling) attack roll instead.",94,FCRB
Necromancer,Expert,Necromancer - Expert,2,Mage,,,"Intelligence 2, Willpower 2, The Expert Degree In Death Arcana","Your necromantic abilities are unparalleled. Each time you spend magic points to gain an additional effect with a Death Arcana spell, such as to animate another corpse or ask another question of the deceased, you gain double the normal benefit. Furthermore, any walking corpse you animate are Elite examples, and you determine which of their game traits are increased under the guidelines of the Elite template (see Chapter 9: Adversaries for information).",94,FCRB
Necromancer,Master,Necromancer - Master,3,Mage,,,"Intelligence 2, Willpower 2, The Expert Degree In Death Arcana","Death sustains you, but in you, even death may die. When a living creature dies within 6 yards of you, you regain 1d6 Health and 1d6 magic points. Furthermore, if a number of creatures with a combined Health equal to or greater than your maximum total die in this vicinity, you may use this ability to return to life if you've been killed yourself. Upon awakening from death, you automatically fail a TN 17 Revelatory horror test. (The target number is listed because you must make the test again to see if you acquire a distortion, as per Horror in Chapter 8: Mastering the Rules.) After 24 hours dead, decomposition manifests as a Scar condition of the GM's choice. After a number of days equal to your Willpower, you either cannot return, or return as an undead creature of the GM's choice, under the GM's control.",94,FCRB
Razor,Novice,Razor - Novice,1,Rogue,,,"Accuracy 2, The Accuracy (Light Blades) Focus","In your hands, daggers, knives, and other small, bladed weapons are far more dangerous than their size and reach suggest. Treat any light blade you wield, including improvised ones, as doing 1d6 + 2 base damage both in melee combat and when thrown. If you use a light blade that already does this much damage, it does +1 damage.",94,FCRB
Razor,Expert,Razor - Expert,2,Rogue,,,"Accuracy 2, The Accuracy (Light Blades) Focus","Attacks with short blades are incredibly fast -- and you know how to counter them as well as use them. You can perform the Lightning Attack stunt for 1 SP less than its normal cost when using knives, daggers, and other light blades that benefit from the Novice degree of this talent, and you can perform the Disarm stunt for 1 SP less when attempting to deprive an enemy of any weapon that uses the Accuracy (Light Blades) focus.",94,FCRB
Razor,Master,Razor - Master,3,Rogue,,,"Accuracy 2, The Accuracy (Light Blades) Focus","Every outstretched limb is a target, and every heavy-footed step is an opportunity to strike. Once per round, if an adjacent enemy misses you with an attack and you have a weapon that benefits from the Novice degree of this talent in hand, you immediately attack them out of initiative order, though this is a simple test that can't generate or use stunt points. ",95,FCRB
Sharpshooter,Novice,Sharpshooter - Novice,1,Rogue,Warrior,,"Dexterity 2, Perception 2, One Fighting Style Talent That Uses A Ranged Weapon","Your ranged attacks hit with enough precision, force, and ferocity to drive your targets back. When you hit a target with a ranged attack and score doubles, you push them back a number of yards equal to your weapon's focus bonus + 1.",95,FCRB
Sharpshooter,Expert,Sharpshooter - Expert,2,Rogue,Warrior,,"Dexterity 2, Perception 2, One Fighting Style Talent That Uses A Ranged Weapon","Patience is a sharpshooter's friend. If you take the Aim minor action with a ranged weapon twice in a row (in the same round or across two different rounds), add your focus bonus with the weapon to your attack roll on top of the usual +1 bonus. This is in addition to adding your focus bonus to your attack roll as usual.",95,FCRB
Sharpshooter,Master,Sharpshooter - Master,3,Rogue,Warrior,,"Dexterity 2, Perception 2, One Fighting Style Talent That Uses A Ranged Weapon","You can find the vulnerable spot on any opponent. When you hit with a ranged attack, reduce your opponent's Armor Rating by your focus bonus.",95,FCRB
Skald,Novice,Skald - Novice,1,Envoy,,,"Communication 2, The Communication (Performance) Focus, The Intelligence (Military Lore) Focus","You spout improvised and memorized poetry that guide your friends and intimidate your foes. When using the Coordinate Envoy ability, you can use the Stunt Attack option as a minor action, but instead of an attack roll you make an opposed Communication (Performance) test vs. your foeâ€™s reaction Willpower (Morale) roll. If you use this and the ordi- nary Coordinate ability in the same turn, you must pass on the SP you gained from each to a different ally. Your ally must be able to understand you.",95,FCRB
Skald,Expert,Skald - Expert,2,Envoy,,,"Communication 2, The Communication (Performance) Focus, The Intelligence (Military Lore) Focus","Your knowledge of great battles gives you tactical wisdom that supplements your fighting ability. Once per encounter, you may add your Intelligence (Military Lore) focus bonus to your attack roll, as an applicable bit of lore occurs to you. You may instead grant this bonus to an ally (they get your focus bonus, not theirs), who must use it on their next turn. Neither option uses up an additional action, but you can only use one of these options once per encounter. If you affect an ally, they must be able to understand you. ",95,FCRB
Skald,Master,Skald - Master,3,Envoy,,,"Communication 2, The Communication (Performance) Focus, The Intelligence (Military Lore) Focus","Your lore-backed verses can wound your enemies' spirits as powerfully as a blade might cut their bodies. As a major action, you can make a Communication (Performance) test vs. your foe's reaction Willpower (Morale) roll. Your foe must be able to feel fear, understand you, and be within 10 yards. If you succeed, you inflict 1d6 + Willpower penetrating damage, and you can attach combat and Envoy stunts to the result if you have the SP and they're appropriate to an attack based on frightening and demoralizing a foe. You may not, however, use this attack to perform a coup de grace -- no matter how artfully you tell someone they're going to die, you can't just kill them that way.",96,FCRB
Spy,Novice,Spy - Novice,1,Envoy,Rogue,,"Perception 2, Constitution 2, either Intrigue (Novice) or Observation (Novice)","You are adept at assuming identities, impersonating others, and telling bald-faced lies. You may reroll failed Communication (Disguise) and Communication (Deception) tests, but you must accept the result of the second roll.",96,FCRB
Spy,Expert,Spy - Expert,2,Envoy,Rogue,,"Perception 2, Constitution 2, either Intrigue (Novice) or Observation (Novice)",You are trained to gather information quickly and accurately without being discovered. You can perform the Efficiency and Cover Your Tracks stunt for 1 SP less than normal. ,96,FCRB
Spy,Master,Spy - Master,3,Envoy,Rogue,,"Perception 2, Constitution 2, either Intrigue (Novice) or Observation (Novice)","You are incredibly hard to capture and keep imprisoned. If you are captured while Helpless, you may still take actions to escape while at 0 Health. When attempting an explo- ration or social test to escape capture or avoid enemies who have an idea that ",96,FCRB
Sword Mage,Novice,Sword Mage - Novice,1,Mage,,,"Willpower 2, Either Accuracy 2 Or Fighting 2","Pick a type of one-handed melee weapon, such as a battleaxe or long sword. You are now considered trained in that weapon in addition to the weapon training granted by your class (See Weapon Groups in the Mage class description in Character 1: Character Creation) and when using your chosen weapon, it is considered your arcane device as well as a magical weapon -- an arcane weapon.",96,FCRB
Sword Mage,Expert,Sword Mage - Expert,2,Mage,,,"Willpower 2, Either Accuracy 2 Or Fighting 2","Magic flows through your blade. You can add your Willpower to the damage your arcane weapon inflicts if it's higher than your Perception for an Accuracy-based arcane weapon, or higher than your Strength for a Frighting-based arcane weapon. In addition, the eldritch energy your arcane weapons contain burns through aromr, so that when you use it with the Pierce Armor stunt instead of reducing your foe's Armor Rating by half for the purposes of damage reduction, you ignore it completely, inflicting penetrating damage.",96,FCRB
Sword Mage,Master,Sword Mage - Master,3,Mage,,,"Willpower 2, Either Accuracy 2 Or Fighting 2","You train to fight with both sword and spell. When wielding your arcane weapon, a successful attack roll allows you to perform Mage Stunts and Spell Stunts that do not require you to cast a spell, as if they were combat stunts. Furthermore, you can perform the Eldritch Assault, a special combat stunt. Eldritch Assault (3 SP): You can immediately cast a spell after a successful melee attack with your arcane weapon. This does not use up an action. The spell's casting time must take no longer than a major action or minor action, and when casting it using this stunt, you cannot generate stunt points.",96,FCRB
